wasp_id,cell_id,amt,time,bout_id
69,2,48,2,
69,2,2,48,30.0
3,5,48,2,
3,5,2,48,30.0
61,16,48,2,
61,16,2,48,30.0
56,2,48,2,
56,2,2,48,30.0
39,14,48,2,
39,14,2,48,30.0
5,2,48,2,
5,2,2,48,30.0
75,2,49,2,
75,2,2,49,30.0
57,160,49,2,
57,160,2,49,30.0
30,3,49,2,
30,3,2,49,30.0
17,5,49,1,
17,5,1,49,30.0
72,15,49,2,
72,15,2,49,30.0
59,3,49,2,
59,3,2,49,30.0
33,3,49,2,
33,3,2,49,30.0
3,5,50,2,
3,5,2,50,31.0
50,176,50,2,
50,176,2,50,31.0
63,3,50,2,
63,3,2,50,31.0
69,2,50,2,
69,2,2,50,31.0
5,4,51,1,
5,4,1,51,31.0
39,13,51,1,
39,13,1,51,31.0
56,2,51,2,
56,2,2,51,31.0
16,2,51,2,
16,2,2,51,31.0
75,1,51,2,
75,1,2,51,31.0
0,4,51,2,
0,4,2,51,31.0
34,3,52,2,
34,3,2,52,31.0
71,164,52,2,
71,164,2,52,31.0
60,2,52,2,
60,2,2,52,31.0
72,13,52,2,
72,13,2,52,31.0
44,3,53,2,
44,3,2,53,31.0
3,5,53,2,
3,5,2,53,31.0
60,2,53,2,
60,2,2,53,31.0
56,2,53,2,
56,2,2,53,31.0
69,2,53,2,
69,2,2,53,31.0
61,174,53,2,
61,174,2,53,31.0
27,312,53,2,
27,312,2,53,31.0
39,180,53,2,
39,180,2,53,31.0
17,3,54,2,
17,3,2,54,31.0
6,1,54,2,
6,1,2,54,31.0
68,4,54,2,
68,4,2,54,31.0
5,161,54,2,
5,161,2,54,31.0
33,14,54,2,
33,14,2,54,31.0
48,3,54,2,
48,3,2,54,31.0
57,160,54,2,
57,160,2,54,31.0
0,4,54,2,
0,4,2,54,31.0
35,3,54,2,
35,3,2,54,31.0
39,181,55,2,
39,181,2,55,31.0
56,2,55,2,
56,2,2,55,31.0
69,2,55,2,
69,2,2,55,31.0
3,5,55,2,
3,5,2,55,31.0
60,166,55,2,
60,166,2,55,31.0
61,23,56,2,
61,23,2,56,31.0
0,4,56,2,
0,4,2,56,31.0
33,180,56,2,
33,180,2,56,31.0
14,164,56,2,
14,164,2,56,31.0
71,158,56,2,
71,158,2,56,31.0
72,164,56,2,
72,164,2,56,31.0
5,4,56,2,
5,4,2,56,31.0
75,159,57,1,
75,159,1,57,32.0
60,15,57,2,
60,15,2,57,32.0
46,160,57,2,
46,160,2,57,32.0
29,160,57,2,
29,160,2,57,32.0
69,2,57,2,
69,2,2,57,32.0
56,2,57,2,
56,2,2,57,32.0
0,4,58,2,
0,4,2,58,33.0
36,3,58,2,
36,3,2,58,33.0
61,16,58,2,
61,16,2,58,33.0
5,161,58,2,
5,161,2,58,33.0
71,158,58,1,
71,158,1,58,33.0
44,3,59,2,
44,3,2,59,33.0
6,3,59,2,
6,3,2,59,33.0
75,1,59,2,
75,1,2,59,33.0
14,158,59,2,
14,158,2,59,33.0
62,160,59,2,
62,160,2,59,33.0
56,2,59,2,
56,2,2,59,33.0
69,2,59,2,
69,2,2,59,33.0
5,3,60,1,
5,3,1,60,34.0
57,3,60,2,
57,3,2,60,34.0
3,5,60,2,
3,5,2,60,34.0
16,2,60,1,
16,2,1,60,34.0
63,4,60,2,
63,4,2,60,34.0
60,173,60,2,
60,173,2,60,34.0
0,4,60,2,
0,4,2,60,34.0
61,166,60,2,
61,166,2,60,34.0
19,3,61,2,
19,3,2,61,34.0
75,6,61,2,
75,6,2,61,34.0
68,3,61,2,
68,3,2,61,34.0
36,3,61,2,
36,3,2,61,34.0
64,3,61,2,
64,3,2,61,34.0
69,2,61,2,
69,2,2,61,34.0
5,160,62,2,
5,160,2,62,34.0
3,5,62,2,
3,5,2,62,34.0
60,174,62,1,
60,174,1,62,34.0
0,4,62,2,
0,4,2,62,34.0
56,2,62,1,
56,2,1,62,34.0
61,2,62,2,
61,2,2,62,34.0
62,161,63,2,
62,161,2,63,34.0
72,306,63,2,
72,306,2,63,34.0
5,3,64,2,
5,3,2,64,34.0
14,2,64,2,
14,2,2,64,34.0
56,2,64,2,
56,2,2,64,34.0
0,3,65,2,
0,3,2,65,34.0
63,3,65,2,
63,3,2,65,34.0
60,18,65,2,
60,18,2,65,34.0
3,4,65,2,
3,4,2,65,34.0
61,2,65,2,
61,2,2,65,34.0
61,2,66,2,
61,2,2,66,34.0
69,2,66,2,
69,2,2,66,34.0
5,9,66,2,
5,9,2,66,34.0
64,160,66,2,
64,160,2,66,34.0
14,2,66,2,
14,2,2,66,34.0
56,2,66,2,
56,2,2,66,35.0
60,18,67,2,
60,18,2,67,35.0
55,3,67,2,
55,3,2,67,35.0
21,193,67,2,
21,193,2,67,35.0
68,3,67,2,
68,3,2,67,35.0
2,2,67,2,
2,2,2,67,35.0
10,158,67,2,
10,158,2,67,35.0
11,3,67,2,
11,3,2,67,35.0
17,3,67,2,
17,3,2,67,35.0
62,162,68,2,
62,162,2,68,35.0
0,3,68,2,
0,3,2,68,35.0
5,18,68,2,
5,18,2,68,35.0
3,17,68,2,
3,17,2,68,35.0
56,2,68,2,
56,2,2,68,35.0
39,43,68,2,
39,43,2,68,35.0
14,2,68,2,
14,2,2,68,35.0
19,3,69,2,
19,3,2,69,35.0
6,161,69,2,
6,161,2,69,35.0
59,2,69,2,
59,2,2,69,35.0
71,7,69,2,
71,7,2,69,35.0
0,3,69,2,
0,3,2,69,35.0
36,3,69,2,
36,3,2,69,35.0
68,4,69,2,
68,4,2,69,35.0
72,171,69,2,
72,171,2,69,35.0
61,2,69,2,
61,2,2,69,35.0
