wasp_id,cell_id,amt,time,bout_id
37,3,228,2,
37,3,2,228,36.0
13,3,228,2,
13,3,2,228,36.0
2,17,229,1,
2,17,1,229,37.0
5,160,230,2,
5,160,2,230,37.0
33,17,230,2,
33,17,2,230,37.0
3,312,232,2,
3,312,2,232,37.0
33,24,233,2,
33,24,2,233,37.0
8,189,233,2,
8,189,2,233,37.0
38,199,233,1,
38,199,1,233,37.0
32,158,233,2,
32,158,2,233,37.0
31,173,234,2,
31,173,2,234,37.0
2,17,234,2,
2,17,2,234,37.0
40,165,235,2,
40,165,2,235,37.0
33,23,235,2,
33,23,2,235,37.0
23,3,235,2,
23,3,2,235,37.0
20,158,235,2,
20,158,2,235,37.0
14,183,236,2,
14,183,2,236,37.0
2,17,236,2,
2,17,2,236,37.0
31,24,237,2,
31,24,2,237,37.0
21,2,238,2,
21,2,2,238,37.0
2,17,238,2,
2,17,2,238,37.0
32,158,238,1,
32,158,1,238,37.0
2,17,240,1,
2,17,1,240,37.0
14,32,245,2,
14,32,2,245,38.0
28,327,246,2,
28,327,2,246,39.0
2,17,247,2,
2,17,2,247,39.0
20,1,247,2,
20,1,2,247,39.0
14,328,247,2,
14,328,2,247,39.0
23,160,248,1,
23,160,1,248,39.0
35,3,250,2,
35,3,2,250,39.0
2,2,251,1,
2,2,1,251,39.0
20,1,252,2,
20,1,2,252,40.0
44,17,252,2,
44,17,2,252,40.0
23,2,253,2,
23,2,2,253,40.0
30,3,253,2,
30,3,2,253,40.0
2,41,256,2,
2,41,2,256,40.0
37,4,256,2,
37,4,2,256,40.0
20,158,256,2,
20,158,2,256,40.0
40,3,257,1,
40,3,1,257,40.0
18,3,257,2,
18,3,2,257,40.0
14,22,257,2,
14,22,2,257,40.0
9,2,257,2,
9,2,2,257,40.0
39,160,257,2,
39,160,2,257,40.0
28,189,258,2,
28,189,2,258,40.0
44,183,258,2,
44,183,2,258,40.0
23,1,259,2,
23,1,2,259,40.0
44,183,260,2,
44,183,2,260,40.0
14,172,260,2,
14,172,2,260,40.0
20,171,261,2,
20,171,2,261,40.0
32,189,262,2,
32,189,2,262,41.0
14,171,262,2,
14,171,2,262,41.0
37,3,262,2,
37,3,2,262,41.0
23,0,263,2,
23,0,2,263,41.0
44,191,264,2,
44,191,2,264,41.0
9,4,264,2,
9,4,2,264,41.0
30,161,264,2,
30,161,2,264,41.0
28,171,265,2,
28,171,2,265,41.0
38,173,265,2,
38,173,2,265,41.0
8,24,265,2,
8,24,2,265,41.0
21,3,265,2,
21,3,2,265,41.0
40,17,266,2,
40,17,2,266,41.0
20,13,266,2,
20,13,2,266,41.0
44,182,266,2,
44,182,2,266,41.0
13,3,266,2,
13,3,2,266,41.0
14,31,267,2,
14,31,2,267,42.0
38,15,267,2,
38,15,2,267,42.0
8,16,268,2,
8,16,2,268,42.0
5,3,268,2,
5,3,2,268,42.0
32,171,268,2,
32,171,2,268,42.0
30,160,269,1,
30,160,1,269,42.0
44,159,271,2,
44,159,2,271,43.0
38,173,272,2,
38,173,2,272,43.0
13,3,272,2,
13,3,2,272,43.0
8,2,272,2,
8,2,2,272,43.0
6,3,273,2,
6,3,2,273,43.0
5,3,273,1,
5,3,1,273,43.0
26,158,273,2,
26,158,2,273,43.0
44,165,273,2,
44,165,2,273,43.0
32,13,274,2,
32,13,2,274,43.0
39,3,275,2,
39,3,2,275,43.0
5,3,275,2,
5,3,2,275,43.0
8,2,275,2,
8,2,2,275,44.0
40,6,277,2,
40,6,2,277,45.0
8,2,277,2,
8,2,2,277,45.0
39,3,278,2,
39,3,2,278,45.0
38,166,278,2,
38,166,2,278,45.0
44,166,278,1,
44,166,1,278,45.0
38,160,279,2,
38,160,2,279,45.0
26,2,279,2,
26,2,2,279,45.0
8,2,280,2,
8,2,2,280,45.0
28,158,280,2,
28,158,2,280,45.0
38,3,281,2,
38,3,2,281,45.0
26,16,283,2,
26,16,2,283,46.0
44,2,283,1,
44,2,1,283,46.0
26,17,285,2,
26,17,2,285,47.0
44,2,285,2,
44,2,2,285,47.0
38,2,285,2,
38,2,2,285,47.0
28,6,285,2,
28,6,2,285,47.0
8,164,286,1,
8,164,1,286,47.0
28,318,288,2,
28,318,2,288,47.0
9,3,288,2,
9,3,2,288,47.0
38,167,288,2,
38,167,2,288,47.0
26,33,288,2,
26,33,2,288,47.0
6,2,289,2,
6,2,2,289,47.0
35,160,289,2,
35,160,2,289,47.0
8,319,289,2,
8,319,2,289,47.0
44,190,290,2,
44,190,2,290,47.0
38,17,291,2,
38,17,2,291,47.0
5,167,292,2,
5,167,2,292,47.0
26,13,292,2,
26,13,2,292,47.0
30,3,293,2,
30,3,2,293,47.0
35,3,293,2,
35,3,2,293,47.0
23,3,294,2,
23,3,2,294,47.0
38,17,294,2,
38,17,2,294,47.0
39,16,296,2,
39,16,2,296,47.0
38,17,296,2,
38,17,2,296,47.0
40,160,296,2,
40,160,2,296,47.0
6,9,296,2,
6,9,2,296,47.0
37,3,297,2,
37,3,2,297,47.0
21,4,298,2,
21,4,2,298,47.0
15,160,298,2,
15,160,2,298,47.0
29,183,299,2,
29,183,2,299,47.0
31,160,299,2,
31,160,2,299,47.0
38,17,299,2,
38,17,2,299,48.0
39,166,300,2,
39,166,2,300,48.0
13,160,301,2,
13,160,2,301,48.0
37,161,301,2,
37,161,2,301,48.0
29,183,301,2,
29,183,2,301,48.0
15,7,302,2,
15,7,2,302,48.0
38,175,305,2,
38,175,2,305,48.0
38,181,308,2,
38,181,2,308,48.0
39,14,311,1,
39,14,1,311,48.0
8,23,312,2,
8,23,2,312,48.0
38,189,313,1,
38,189,1,313,48.0
31,9,314,2,
31,9,2,314,48.0
21,174,318,2,
21,174,2,318,48.0
40,3,318,2,
40,3,2,318,48.0
6,160,318,2,
6,160,2,318,48.0
13,3,318,2,
13,3,2,318,48.0
37,16,319,1,
37,16,1,319,48.0
30,2,320,2,
30,2,2,320,48.0
24,3,320,2,
24,3,2,320,48.0
18,3,320,2,
18,3,2,320,48.0
5,2,320,2,
5,2,2,320,49.0
9,3,321,2,
9,3,2,321,49.0
21,16,322,2,
21,16,2,322,49.0
30,2,323,2,
30,2,2,323,49.0
31,161,323,1,
31,161,1,323,49.0
18,8,325,2,
18,8,2,325,49.0
38,306,328,2,
38,306,2,328,49.0
13,8,328,2,
13,8,2,328,49.0
6,1,328,2,
6,1,2,328,49.0
30,2,328,2,
30,2,2,328,49.0
37,1,328,2,
37,1,2,328,49.0
3,199,330,2,
3,199,2,330,49.0
26,326,331,2,
26,326,2,331,49.0
30,180,332,2,
30,180,2,332,49.0
29,181,332,2,
29,181,2,332,49.0
24,173,332,2,
24,173,2,332,49.0
13,3,332,2,
13,3,2,332,49.0
18,2,332,2,
18,2,2,332,49.0
21,17,333,2,
21,17,2,333,49.0
29,23,334,2,
29,23,2,334,50.0
9,181,334,2,
9,181,2,334,50.0
35,14,334,2,
35,14,2,334,50.0
26,326,334,2,
26,326,2,334,50.0
38,3,335,2,
38,3,2,335,50.0
30,3,337,2,
30,3,2,337,50.0
9,173,337,2,
9,173,2,337,50.0
6,3,337,2,
6,3,2,337,50.0
29,181,337,2,
29,181,2,337,50.0
29,200,340,2,
29,200,2,340,50.0
2,191,340,2,
2,191,2,340,50.0
5,4,340,2,
5,4,2,340,50.0
30,173,341,2,
30,173,2,341,50.0
13,173,341,2,
13,173,2,341,50.0
6,160,341,2,
6,160,2,341,50.0
15,15,341,2,
15,15,2,341,50.0
23,160,342,2,
23,160,2,342,50.0
38,4,342,2,
38,4,2,342,50.0
35,7,342,2,
35,7,2,342,50.0
21,3,343,2,
21,3,2,343,50.0
29,200,343,2,
29,200,2,343,50.0
38,4,343,2,
38,4,2,343,50.0
24,4,344,2,
24,4,2,344,50.0
39,17,344,2,
39,17,2,344,50.0
2,41,344,2,
2,41,2,344,50.0
29,326,345,2,
29,326,2,345,50.0
21,2,345,2,
21,2,2,345,50.0
13,172,347,2,
13,172,2,347,50.0
6,1,347,2,
6,1,2,347,50.0
29,326,347,2,
29,326,2,347,50.0
28,158,347,2,
28,158,2,347,50.0
38,22,349,2,
38,22,2,349,51.0
35,15,350,2,
35,15,2,350,51.0
32,158,350,2,
32,158,2,350,51.0
24,4,350,2,
24,4,2,350,51.0
38,14,351,1,
38,14,1,351,51.0
5,3,352,2,
5,3,2,352,51.0
37,165,352,2,
37,165,2,352,51.0
28,0,352,2,
28,0,2,352,51.0
39,181,353,2,
39,181,2,353,51.0
24,3,353,2,
24,3,2,353,51.0
40,15,354,2,
40,15,2,354,51.0
38,165,354,2,
38,165,2,354,51.0
32,1,355,2,
32,1,2,355,52.0
5,3,355,2,
5,3,2,355,52.0
39,23,358,2,
39,23,2,358,53.0
38,17,358,2,
38,17,2,358,53.0
32,1,358,2,
32,1,2,358,53.0
2,190,358,2,
2,190,2,358,53.0
28,158,359,2,
28,158,2,359,53.0
38,17,360,2,
38,17,2,360,53.0
32,165,360,2,
32,165,2,360,53.0
31,3,361,1,
31,3,1,361,53.0
38,16,362,2,
38,16,2,362,53.0
32,24,363,2,
32,24,2,363,53.0
30,2,363,2,
30,2,2,363,53.0
28,0,363,2,
28,0,2,363,53.0
24,3,364,2,
24,3,2,364,53.0
15,4,365,2,
15,4,2,365,53.0
38,166,365,2,
38,166,2,365,53.0
40,164,367,2,
40,164,2,367,53.0
38,7,367,2,
38,7,2,367,53.0
28,158,367,2,
28,158,2,367,53.0
32,174,367,2,
32,174,2,367,53.0
32,15,368,2,
32,15,2,368,53.0
13,3,369,2,
13,3,2,369,53.0
23,16,369,1,
23,16,1,369,53.0
38,17,370,2,
38,17,2,370,53.0
28,0,370,2,
28,0,2,370,53.0
43,164,370,2,
43,164,2,370,53.0
32,23,371,2,
32,23,2,371,54.0
18,2,372,2,
18,2,2,372,54.0
40,3,373,1,
40,3,1,373,55.0
15,3,373,2,
15,3,2,373,55.0
5,3,373,2,
5,3,2,373,55.0
23,3,374,2,
23,3,2,374,55.0
30,3,374,2,
30,3,2,374,55.0
21,3,374,2,
21,3,2,374,55.0
5,161,375,2,
5,161,2,375,55.0
28,158,375,2,
28,158,2,375,55.0
41,318,383,2,
41,318,2,383,55.0
28,159,383,2,
28,159,2,383,55.0
37,13,385,2,
37,13,2,385,56.0
22,158,385,2,
